Model,CV_Folds,Mean_Accuracy,Std_Accuracy,Mean_ROC_AUC,Std_ROC_AUC,Var_ROC_AUC,Best_Fold_ROC_AUC,Worst_Fold_ROC_AUC,Mean_F1,Mean_Precision,Mean_Recall,Mean_PR_AUC
Logistic Regression,10,0.788,0.03910100879630714,0.8696417657045841,0.035301648283461294,0.001246206371529206,0.9405772495755518,0.8268251273344652,0.7354304182481333,0.7088450600266457,0.7713157894736843,0.799140049659594
SVM,10,0.78,0.04618802153517005,0.8585257498585172,0.050455344217574784,0.0025457417601139573,0.932937181663837,0.8033333333333333,0.7200782082055032,0.6998981693363844,0.7505263157894737,0.78947117260068
Random Forest,10,0.788,0.0285968141193696,0.8441505376344086,0.05847093456585804,0.0034188501890048528,0.9422750424448217,0.7633333333333333,0.704196410817803,0.764941045796309,0.6626315789473685,0.7656395794678947
HistGradientBoosting,10,0.744,0.03627058802329455,0.8273290888511602,0.05613028458158173,0.0031506088472093513,0.9049235993208828,0.7300509337860781,0.6581133182907706,0.6771483414806877,0.6468421052631579,0.7270474444321321
