accuracy,precision,recall,f1,roc_auc,pr_auc,Outer_Fold,Best_Params
0.75,0.75,0.5384615384615384,0.6268656716417911,0.805380411937789,0.7650279424908224,1,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_depth"": 10}"
0.82,0.8181818181818182,0.6923076923076923,0.75,0.8869272803699032,0.7833261978503323,2,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 10}"
0.81,0.8064516129032258,0.6578947368421053,0.7246376811594203,0.884125636672326,0.8138661323041887,3,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 10}"
0.78,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.840195246179966,0.729960996304701,4,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 10}"
0.75,0.6857142857142857,0.631578947368421,0.6575342465753424,0.8204584040747029,0.6914900101098577,5,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 10}"
