trial,status,score,time_sec,params
19,Pruned,,0.010627999999996973,"{""booster"": ""gbtree"", ""lambda"": 0.0013786032881211222, ""alpha"": 0.4722655900104619, ""subsample"": 0.8221733334514483, ""colsample_bytree"": 0.7764556151641876, ""learning_rate"": 0.08215446317702911, ""n_estimators"": 76, ""max_depth"": 5, ""min_child_weight"": 7}"
20,Pruned,,0.009598700000424287,"{""booster"": ""gbtree"", ""lambda"": 2.7946650413047318e-06, ""alpha"": 0.0031699035510648396, ""subsample"": 0.9976345006032957, ""colsample_bytree"": 0.9050529976602666, ""learning_rate"": 0.03308804648296186, ""n_estimators"": 298, ""max_depth"": 3, ""min_child_weight"": 3}"
21,Pruned,,0.013831500000378583,"{""booster"": ""dart"", ""lambda"": 0.01507846350805356, ""alpha"": 1.1456281446631844e-06, ""subsample"": 0.6681216272822725, ""colsample_bytree"": 0.6676202039585519, ""learning_rate"": 0.0016318877048349105, ""n_estimators"": 142, ""max_depth"": 7, ""min_child_weight"": 1}"
22,Pruned,,0.010124299999006325,"{""booster"": ""dart"", ""lambda"": 0.169311999636501, ""alpha"": 8.086659428847704e-08, ""subsample"": 0.6222668397825124, ""colsample_bytree"": 0.6259488068027862, ""learning_rate"": 0.003325426142068318, ""n_estimators"": 104, ""max_depth"": 6, ""min_child_weight"": 3}"
23,Pruned,,0.013775900000837282,"{""booster"": ""dart"", ""lambda"": 0.00812337872532767, ""alpha"": 8.21367027181579e-06, ""subsample"": 0.5471612781547206, ""colsample_bytree"": 0.5011554743692468, ""learning_rate"": 0.00857995608784772, ""n_estimators"": 136, ""max_depth"": 8, ""min_child_weight"": 1}"
24,Pruned,,0.010204700000031153,"{""booster"": ""dart"", ""lambda"": 0.027389067975215245, ""alpha"": 2.607483866201278e-07, ""subsample"": 0.7163796527580651, ""colsample_bytree"": 0.692776326339771, ""learning_rate"": 0.0010113817105634204, ""n_estimators"": 159, ""max_depth"": 4, ""min_child_weight"": 3}"
25,Completed,0.8269388826582222,0.24376609999853827,"{""booster"": ""dart"", ""lambda"": 0.002036594109292319, ""alpha"": 0.0001615706114830546, ""subsample"": 0.6325953827690713, ""colsample_bytree"": 0.6293141682060015, ""learning_rate"": 0.27733193857274974, ""n_estimators"": 94, ""max_depth"": 6, ""min_child_weight"": 2}"
26,Pruned,,0.00978910000048927,"{""booster"": ""dart"", ""lambda"": 1.770980983846967e-05, ""alpha"": 1.4591140984519272e-08, ""subsample"": 0.5403066529713999, ""colsample_bytree"": 0.5670595897971171, ""learning_rate"": 0.0049039576686275965, ""n_estimators"": 177, ""max_depth"": 8, ""min_child_weight"": 4}"
27,Pruned,,0.010591399999611895,"{""booster"": ""dart"", ""lambda"": 2.0716171573488177e-07, ""alpha"": 4.566248685637065e-06, ""subsample"": 0.79967632354526, ""colsample_bytree"": 0.7891996949477458, ""learning_rate"": 0.12474741534008767, ""n_estimators"": 215, ""max_depth"": 5, ""min_child_weight"": 5}"
28,Pruned,,0.010270000000673463,"{""booster"": ""gbtree"", ""lambda"": 0.6861624799943701, ""alpha"": 6.379492776197161e-05, ""subsample"": 0.941743917087897, ""colsample_bytree"": 0.9055551675599087, ""learning_rate"": 0.011994638238447031, ""n_estimators"": 247, ""max_depth"": 4, ""min_child_weight"": 6}"
29,Pruned,,0.008967199999460718,"{""booster"": ""dart"", ""lambda"": 0.048952859991262254, ""alpha"": 0.06656753679658647, ""subsample"": 0.83982951824554, ""colsample_bytree"": 0.548038596947569, ""learning_rate"": 0.172491352122696, ""n_estimators"": 138, ""max_depth"": 3, ""min_child_weight"": 5}"
30,Pruned,,0.011038399999961257,"{""booster"": ""dart"", ""lambda"": 4.570973627446642e-05, ""alpha"": 5.924272977231581e-07, ""subsample"": 0.7166772303099489, ""colsample_bytree"": 0.7287905452896026, ""learning_rate"": 0.002849101938457616, ""n_estimators"": 253, ""max_depth"": 8, ""min_child_weight"": 3}"
31,Completed,0.8474121201125918,0.24351620000015828,"{""booster"": ""dart"", ""lambda"": 4.562059600023513e-06, ""alpha"": 2.8248010329031993e-06, ""subsample"": 0.5675914457873963, ""colsample_bytree"": 0.7302633445511724, ""learning_rate"": 0.029098448087878544, ""n_estimators"": 62, ""max_depth"": 3, ""min_child_weight"": 4}"
32,Completed,0.8466333784140387,0.29023720000077446,"{""booster"": ""dart"", ""lambda"": 4.562292091524047e-08, ""alpha"": 4.8402945529625197e-08, ""subsample"": 0.5558696845762124, ""colsample_bytree"": 0.5951539200604811, ""learning_rate"": 0.02624914885228719, ""n_estimators"": 86, ""max_depth"": 3, ""min_child_weight"": 4}"
33,Completed,0.8446245381976514,0.25362240000140446,"{""booster"": ""dart"", ""lambda"": 4.544401135186017e-08, ""alpha"": 3.698853805751226e-08, ""subsample"": 0.5534454468274066, ""colsample_bytree"": 0.5865974040270583, ""learning_rate"": 0.0285445976779806, ""n_estimators"": 52, ""max_depth"": 3, ""min_child_weight"": 4}"
34,Pruned,,0.009922699999151519,"{""booster"": ""dart"", ""lambda"": 2.9488978833879056e-07, ""alpha"": 1.730801286775622e-05, ""subsample"": 0.505361748572048, ""colsample_bytree"": 0.6038014602916746, ""learning_rate"": 0.05265342837732063, ""n_estimators"": 79, ""max_depth"": 3, ""min_child_weight"": 4}"
35,Pruned,,0.009120500000790344,"{""booster"": ""dart"", ""lambda"": 1.985558716361714e-06, ""alpha"": 2.9403495985370957e-06, ""subsample"": 0.6071171178631943, ""colsample_bytree"": 0.6912825369645108, ""learning_rate"": 0.0207514930002668, ""n_estimators"": 55, ""max_depth"": 4, ""min_child_weight"": 5}"
36,Pruned,,0.009217699998771423,"{""booster"": ""dart"", ""lambda"": 3.143382287169815e-08, ""alpha"": 3.906986661902585e-07, ""subsample"": 0.572802999325063, ""colsample_bytree"": 0.9646259714667378, ""learning_rate"": 0.09098384126458241, ""n_estimators"": 88, ""max_depth"": 3, ""min_child_weight"": 3}"
37,Completed,0.8433218707393235,0.2204861999998684,"{""booster"": ""gbtree"", ""lambda"": 5.438107571294506e-07, ""alpha"": 5.301099131779522e-08, ""subsample"": 0.5417031535959465, ""colsample_bytree"": 0.7356796277396164, ""learning_rate"": 0.03872779966510091, ""n_estimators"": 122, ""max_depth"": 4, ""min_child_weight"": 4}"
38,Pruned,,0.011009300000296207,"{""booster"": ""dart"", ""lambda"": 4.415530032384301e-06, ""alpha"": 0.0016162633560917212, ""subsample"": 0.6361465482852974, ""colsample_bytree"": 0.5182608298155367, ""learning_rate"": 0.21052085801519899, ""n_estimators"": 284, ""max_depth"": 3, ""min_child_weight"": 5}"
39,Pruned,,0.009018499999001506,"{""booster"": ""dart"", ""lambda"": 4.477602302466686e-05, ""alpha"": 6.201497259062217e-05, ""subsample"": 0.572854078664231, ""colsample_bytree"": 0.6689890238268444, ""learning_rate"": 0.06385911801053311, ""n_estimators"": 220, ""max_depth"": 4, ""min_child_weight"": 6}"
40,Pruned,,0.009042399999088957,"{""booster"": ""gbtree"", ""lambda"": 2.790865095696592e-08, ""alpha"": 0.07575583478809512, ""subsample"": 0.7532054074996892, ""colsample_bytree"": 0.5328707741372194, ""learning_rate"": 0.10802148450810817, ""n_estimators"": 61, ""max_depth"": 3, ""min_child_weight"": 3}"
41,Pruned,,0.010308400000212714,"{""booster"": ""dart"", ""lambda"": 0.00013804874167225138, ""alpha"": 9.75418473637937e-07, ""subsample"": 0.5243111449215075, ""colsample_bytree"": 0.6315573881950296, ""learning_rate"": 0.15603200993328156, ""n_estimators"": 194, ""max_depth"": 3, ""min_child_weight"": 2}"
42,Pruned,,0.011515800000779564,"{""booster"": ""dart"", ""lambda"": 1.0987312612995952e-07, ""alpha"": 9.577915729915379e-08, ""subsample"": 0.5992168483773739, ""colsample_bytree"": 0.6344246673630146, ""learning_rate"": 0.0211159371769235, ""n_estimators"": 118, ""max_depth"": 5, ""min_child_weight"": 2}"
43,Pruned,,0.009407300000020768,"{""booster"": ""dart"", ""lambda"": 0.0005668963617906247, ""alpha"": 6.786853012423229e-06, ""subsample"": 0.5614244110258994, ""colsample_bytree"": 0.6487038934678664, ""learning_rate"": 0.010101611509258581, ""n_estimators"": 99, ""max_depth"": 4, ""min_child_weight"": 1}"
44,Pruned,,0.008943500000896165,"{""booster"": ""dart"", ""lambda"": 1.0284463927180905e-08, ""alpha"": 1.314236865171467e-07, ""subsample"": 0.5193535728595317, ""colsample_bytree"": 0.9974788202128899, ""learning_rate"": 0.20755125641566938, ""n_estimators"": 66, ""max_depth"": 3, ""min_child_weight"": 7}"
45,Completed,0.8453568247789945,0.25408860000061395,"{""booster"": ""gbtree"", ""lambda"": 3.286502145250526e-07, ""alpha"": 1.8784577785146482e-06, ""subsample"": 0.6487817212535876, ""colsample_bytree"": 0.7085055110405417, ""learning_rate"": 0.039446366613124687, ""n_estimators"": 83, ""max_depth"": 9, ""min_child_weight"": 4}"
46,Pruned,,0.010410599999886472,"{""booster"": ""gbtree"", ""lambda"": 1.0755594420882754e-06, ""alpha"": 2.418423038664054e-06, ""subsample"": 0.5891034271805525, ""colsample_bytree"": 0.8718930225446154, ""learning_rate"": 0.03824361331339592, ""n_estimators"": 84, ""max_depth"": 9, ""min_child_weight"": 4}"
47,Completed,0.8390279335444429,0.2557241000013164,"{""booster"": ""gbtree"", ""lambda"": 9.635513713668004e-06, ""alpha"": 0.008537335377761605, ""subsample"": 0.6119227585576577, ""colsample_bytree"": 0.8116080799577705, ""learning_rate"": 0.01484469268818312, ""n_estimators"": 72, ""max_depth"": 9, ""min_child_weight"": 5}"
48,Completed,0.8447149744909179,0.23180429999956687,"{""booster"": ""gbtree"", ""lambda"": 4.248391720606954e-07, ""alpha"": 1.4799570687038758e-05, ""subsample"": 0.5001885939634558, ""colsample_bytree"": 0.7471430682788921, ""learning_rate"": 0.02889114797274881, ""n_estimators"": 111, ""max_depth"": 4, ""min_child_weight"": 4}"
49,Completed,0.8410073613493424,0.23544369999945047,"{""booster"": ""gbtree"", ""lambda"": 1.9284716007268202e-07, ""alpha"": 0.0006574973009830405, ""subsample"": 0.6569797227355572, ""colsample_bytree"": 0.7175908292170483, ""learning_rate"": 0.050178397095134525, ""n_estimators"": 257, ""max_depth"": 8, ""min_child_weight"": 4}"
